Address	CONTACT	Price	LOT SIZE	SALE TYPE	BUILDING SIZE	CAP RATE	No STORIES	No Units	YEAR BUILT	PROP TYPE	PARKING RATIO	Prop Sub Type	ZONING	Apt Styl	Parcel Number	URL
1422 E 108th Ave Tampa, FL	Forrest	$1,300,000	0.72 AC	Investment	8,424 SF	7.20%	1	12	1985	Multifamily	3.8/1,000 SF	Apartments	Multifamily	Garden	null	https://www.loopnet.com/Listing/1422-E-108th-Ave-Tampa-FL/17115554/
6912 Trout St Tampa, FL	Forrest	$540,000	0.28 AC	Investment	4,400 SF	null	2	4	1984	Multifamily	2.73/1,000 SF	Apartments	r-3	Garden	039500-0552	https://www.loopnet.com/Listing/6912-Trout-St-Tampa-FL/16872183/
6936-6940 Trout Tampa, FL	Forrest	$1,612,000	0.90 AC	Investment	14,820 SF	7.52%	2	null	1985	Specialty	1.75/1,000 SF	Residential Income	R-3	null	039500-0528	https://www.loopnet.com/Listing/6936-6940-Trout-Tampa-FL/16871974/
9816 N 11th St Tampa, FL	Forrest	$159,000	null	Investment	1,134 SF	null	1	2	1972	Multifamily	null	null	null	null	144020-0000	https://www.loopnet.com/Listing/9816-N-11th-St-Tampa-FL/17310526/
8601 N 39th St Tampa, FL	Forrest	$436,720	0.17 AC	Investment	3,156 SF	8.13%	2	4	1979	Multifamily	null	Apartments	RM-24	null	A-21-28-19-464-000014-00011.0	https://www.loopnet.com/Listing/8601-N-39th-St-Tampa-FL/17299779/
6950-6962 Trout St Tampa, FL	Forrest	$1,612,000	0.09 AC	Investment	14,820 SF	null	2	13	1983	Multifamily	null	Apartments	PD-H	Garden	U-28-28-19-1LP-000000-00001.0	https://www.loopnet.com/Listing/6950-6962-Trout-St-Tampa-FL/17278286/
1720 W Hills Ave Tampa, FL	Forrest	$949,000	0.17 AC	Investment	3,170 SF	5.22%	2	4	1903	Multifamily	2.52/1,000 SF	Apartments	RS-60	Garden	A-26-29-18-4U9-000001-00015.0	https://www.loopnet.com/Listing/1720-W-Hills-Ave-Tampa-FL/17222524/
12405 Pony Ct Tampa, FL	Forrest	$875,000	0.19 AC	Investment	7,029 SF	10.00%	2	2	1981	Multifamily	null	Apartments	RES	Garden	U-18-28-17-06N-E00000-00019.0	https://www.loopnet.com/Listing/12405-Pony-Ct-Tampa-FL/17166135/
6604 S Faul St Tampa, FL	Forrest	$650,000	0.35 AC	Investment	4,854 SF	null	1	6	1973	Multifamily	null	null	null	Garden	A-17-30-18-42D-000019-00015.0	https://www.loopnet.com/Listing/6604-S-Faul-St-Tampa-FL/17092329/
803-809 E 120th Ave Tampa, FL	Forrest	$2,065,000	2.00 AC	Investment	12,544 SF	null	2	16	1986	Multifamily	null	Apartments	null	Garden	U-12-28-18-10D-000011-00002.0	https://www.loopnet.com/Listing/803-809-E-120th-Ave-Tampa-FL/17038585/
2105 W Bristol Ave Tampa, FL	Forrest	$4,200,000	0.43 AC	Investment	8,346 SF	8.26%	2	25	1925	Multifamily	10/1,000 SF	Apartments	CI, County	null	A-26-29-18-4U6-000000-00002.0	https://www.loopnet.com/Listing/2105-W-Bristol-Ave-Tampa-FL/16822730/
12405 Pony Ct Tampa, FL	Forrest	$875,000	1.40 AC	Investment	7,029 SF	10.00%	1	null	1981	Specialty	1.42/1,000 SF	Residential Income	RES	null	004257-5206	https://www.loopnet.com/Listing/12405-Pony-Ct-Tampa-FL/16583630/
8206 N Elmer St Tampa, FL	Forrest	$239,900	0.12 AC	Investment	1,715 SF	null	1	2	1986	Multifamily	null	Apartments	RS-50	null	A-30-28-19-46S-000000-00081.0	https://www.loopnet.com/Listing/8206-N-Elmer-St-Tampa-FL/16575321/
Tampa Package Deal Multiple Locations	Forrest	$275,000	null	Investment	null	9.60%	null	null	null	null	null	null	null	null	null	https://www.loopnet.com/Listing/profile/16556760/
2917 W San Isidro St Tampa, FL	Forrest	$1,350,000	0.22 AC	Investment	6,686 SF	6.00%	2	8	1918	Multifamily	1.5/1,000 SF	Apartments	null	Low Rise	A-27-29-18-3U4-000017-00008.0	https://www.loopnet.com/Listing/2917-W-San-Isidro-St-Tampa-FL/16264889/
111 W Genesee St Tampa, FL	Forrest	$565,000	0.23 AC	Investment	7,754 SF	16.25%	2	8	1942	Multifamily	1.26/1,000 SF	Apartments	SH-RS	Low Rise	A-01-29-18-4GL-000000-00301.0	https://www.loopnet.com/Listing/111-W-Genesee-St-Tampa-FL/16181121/
Two Apartment Buildings 8 Unit Portfolio Multiple Locations	Forrest	$950,000	null	Investment	null	6.46%	null	null	null	null	null	null	null	null	null	https://www.loopnet.com/Listing/profile/16118026/
3124 W Sligh Ave Tampa, FL	Forrest	$525,000	0.28 AC	Investment	4,688 SF	5.91%	2	4	1984	Multifamily	null	Apartments	null	null	031128-5600	https://www.loopnet.com/Listing/3124-W-Sligh-Ave-Tampa-FL/16118002/
3402 W San Pedro St Tampa, FL	Forrest	$895,000	0.11 AC	Investment	3,058 SF	5.56%	2	4	1948	Multifamily	null	Apartments	RM-16	Low Rise	A-34-29-18-3U4-000078-00001.0	https://www.loopnet.com/Listing/3402-W-San-Pedro-St-Tampa-FL/16040198/
1515 E 139th Ave Tampa, FL	Forrest	$842,000	0.46 AC	Investment	20,037 SF	6.00%	1	8	1984	Multifamily	3.21/1,000 SF	Apartments	RMC-20	Garden	U-06-28-19-1GH-000005-00006.0	https://www.loopnet.com/Listing/1515-E-139th-Ave-Tampa-FL/15814958/
